epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,5496.13,0.54807,0.41104,1.5019,0.74556,0.77011,0.75845,0.53327,1.02741,1.2031,2.17147,0.0010892,0.0010892,0.0010892
117,5544.91,0.54371,0.4003,1.44817,0.74854,0.68437,0.68938,0.48391,1.09093,1.35726,2.20211,0.00108128,0.00108128,0.00108128
118,5593.82,0.5471,0.40304,1.45728,0.67072,0.77264,0.7027,0.51046,1.00922,1.27655,2.15318,0.00107336,0.00107336,0.00107336
119,5642.98,0.5557,0.40333,1.46852,0.71875,0.74713,0.75402,0.55171,0.99442,1.15879,2.1004,0.00106544,0.00106544,0.00106544
120,5690.29,0.56054,0.41377,1.51899,0.60806,0.8046,0.70834,0.52078,0.96414,1.08681,2.108,0.00105752,0.00105752,0.00105752
121,5737.94,0.53347,0.39592,1.45227,0.6885,0.72414,0.66942,0.507,0.95002,1.19484,2.1162,0.0010496,0.0010496,0.0010496
122,5786.02,0.54601,0.38945,1.44778,0.6878,0.71264,0.69777,0.51969,1.00947,1.35461,2.1823,0.00104168,0.00104168,0.00104168
123,5833.54,0.52134,0.38382,1.41838,0.6762,0.74413,0.68454,0.5195,0.94112,1.29584,2.074,0.00103376,0.00103376,0.00103376
124,5881.04,0.55672,0.39765,1.49343,0.72824,0.72414,0.73284,0.55871,0.95784,1.21784,2.19818,0.00102584,0.00102584,0.00102584
125,5928.68,0.53588,0.38638,1.46937,0.72382,0.75316,0.71731,0.53618,0.96964,1.15887,2.06809,0.00101792,0.00101792,0.00101792
126,5976.06,0.52556,0.38605,1.45978,0.67374,0.73563,0.69412,0.50012,0.97682,1.25084,2.10789,0.00101,0.00101,0.00101
127,6024.01,0.51356,0.37833,1.41318,0.69228,0.71264,0.7076,0.52821,0.98288,1.24643,2.10607,0.00100208,0.00100208,0.00100208
128,6072.26,0.52589,0.39357,1.43926,0.70306,0.77011,0.74833,0.56869,0.95522,1.18483,2.01751,0.00099416,0.00099416,0.00099416
129,6120.12,0.52157,0.39116,1.4255,0.71568,0.7931,0.76161,0.57261,0.92649,0.97776,2.00803,0.00098624,0.00098624,0.00098624
130,6168.07,0.52279,0.39125,1.44088,0.75503,0.70856,0.74611,0.57224,0.94852,1.12404,2.00785,0.00097832,0.00097832,0.00097832
131,6216.3,0.52872,0.39395,1.47908,0.73621,0.71264,0.74872,0.56966,1.01045,1.28623,2.22512,0.0009704,0.0009704,0.0009704
132,6264.25,0.52987,0.39137,1.3948,0.68712,0.75728,0.72105,0.53954,1.03126,1.2217,2.08491,0.00096248,0.00096248,0.00096248
133,6312.06,0.51498,0.40283,1.44238,0.66151,0.78161,0.71836,0.53821,1.0552,1.25184,2.20762,0.00095456,0.00095456,0.00095456
134,6359.81,0.52793,0.39005,1.40097,0.71454,0.7931,0.78371,0.58597,1.00339,1.03081,2.21024,0.00094664,0.00094664,0.00094664
135,6406.89,0.50858,0.3864,1.36938,0.74474,0.72414,0.78541,0.56375,1.01514,1.05194,2.07812,0.00093872,0.00093872,0.00093872
136,6453.42,0.49776,0.38899,1.39076,0.79323,0.75862,0.82081,0.61095,0.98813,0.95296,2.08803,0.0009308,0.0009308,0.0009308
137,6500.35,0.50631,0.38123,1.44275,0.79212,0.77011,0.82146,0.60656,0.91924,0.92731,1.98668,0.00092288,0.00092288,0.00092288
138,6548.07,0.50557,0.38214,1.35541,0.83005,0.72984,0.81132,0.60374,0.88269,0.96385,2.01999,0.00091496,0.00091496,0.00091496
139,6595.5,0.54604,0.39135,1.42276,0.82916,0.70115,0.79235,0.58396,0.91524,1.03655,2.00047,0.00090704,0.00090704,0.00090704
140,6642.86,0.48203,0.36699,1.37458,0.71957,0.77011,0.75271,0.5607,0.95337,1.09418,2.07899,0.00089912,0.00089912,0.00089912
141,6690.32,0.48855,0.36393,1.37677,0.75273,0.74713,0.77101,0.57599,0.94338,1.14936,2.08961,0.0008912,0.0008912,0.0008912
142,6737.96,0.49335,0.38278,1.40758,0.72205,0.71264,0.73979,0.54799,0.95071,1.16483,2.12555,0.00088328,0.00088328,0.00088328
143,6786.19,0.49055,0.36229,1.34668,0.76584,0.67816,0.73541,0.54556,0.91576,1.16217,1.98966,0.00087536,0.00087536,0.00087536
144,6834.05,0.49817,0.36339,1.38995,0.73366,0.73563,0.77021,0.58318,0.93015,1.05576,2.0045,0.00086744,0.00086744,0.00086744
145,6882.04,0.50332,0.37012,1.39029,0.73561,0.75862,0.75482,0.56269,1.01081,1.00138,2.20318,0.00085952,0.00085952,0.00085952
146,6929.56,0.49352,0.37619,1.46601,0.6636,0.8046,0.75339,0.57513,0.8923,1.0448,2.01623,0.0008516,0.0008516,0.0008516
147,6977.17,0.48439,0.371,1.40614,0.72755,0.72414,0.75084,0.57371,0.93535,1.12407,2.09447,0.00084368,0.00084368,0.00084368
148,7024.8,0.49046,0.37021,1.43692,0.64544,0.79512,0.74168,0.56264,0.9604,1.15562,2.10541,0.00083576,0.00083576,0.00083576
149,7072.38,0.50225,0.38072,1.42236,0.66032,0.78205,0.70265,0.51914,0.93618,1.21079,2.21818,0.00082784,0.00082784,0.00082784
150,7119.76,0.47969,0.36254,1.44607,0.71067,0.67816,0.72351,0.56484,0.91157,1.17869,2.10673,0.00081992,0.00081992,0.00081992
151,7167.86,0.50859,0.38242,1.42364,0.79467,0.64368,0.74056,0.56143,0.93958,1.22718,2.09156,0.000812,0.000812,0.000812
152,7215.75,0.4979,0.37784,1.44265,0.75767,0.71879,0.7653,0.55598,0.99089,1.02036,2.15355,0.00080408,0.00080408,0.00080408
153,7263.51,0.49732,0.36805,1.39594,0.81046,0.71264,0.78167,0.58836,0.95328,1.16905,2.18597,0.00079616,0.00079616,0.00079616
154,7310.98,0.47337,0.35091,1.35283,0.75067,0.77011,0.76845,0.58332,0.94007,1.1436,2.08063,0.00078824,0.00078824,0.00078824
155,7358.97,0.5188,0.39821,1.40736,0.71735,0.75847,0.75422,0.56236,1.00616,1.16755,2.23468,0.00078032,0.00078032,0.00078032
156,7407.26,0.4727,0.34785,1.40185,0.76199,0.69919,0.74634,0.55239,0.99914,1.12913,2.22022,0.0007724,0.0007724,0.0007724
157,7455.21,0.49936,0.3763,1.42354,0.70141,0.73563,0.74595,0.56754,0.98421,1.13429,2.19457,0.00076448,0.00076448,0.00076448
158,7501.15,0.46112,0.35212,1.33662,0.71115,0.68966,0.7283,0.54592,1.00664,1.14899,2.26064,0.00075656,0.00075656,0.00075656
159,7547.12,0.46928,0.36047,1.3619,0.70131,0.71264,0.72734,0.53051,1.00313,1.24073,2.23994,0.00074864,0.00074864,0.00074864
160,7593.23,0.49029,0.37277,1.38557,0.66867,0.72414,0.72619,0.55598,0.96632,1.0739,2.1418,0.00074072,0.00074072,0.00074072
161,7640.42,0.45778,0.33812,1.34733,0.68192,0.76393,0.74978,0.56253,0.97117,1.14744,2.16127,0.0007328,0.0007328,0.0007328
162,7688.83,0.4654,0.3526,1.34367,0.67625,0.7683,0.7774,0.5627,0.96907,1.00631,2.18398,0.00072488,0.00072488,0.00072488
163,7736.72,0.44095,0.33648,1.29567,0.67509,0.78161,0.74912,0.55746,0.9497,1.00995,2.13363,0.00071696,0.00071696,0.00071696
164,7785.05,0.48893,0.36459,1.39449,0.72644,0.74713,0.71399,0.53028,0.97019,1.06654,2.10701,0.00070904,0.00070904,0.00070904
165,7833.42,0.49374,0.39712,1.3874,0.69957,0.77621,0.75614,0.56502,0.97101,1.054,2.1014,0.00070112,0.00070112,0.00070112
166,7881.81,0.45825,0.35181,1.3475,0.80207,0.74525,0.74383,0.557,0.98599,1.0841,2.20568,0.0006932,0.0006932,0.0006932
167,7930.08,0.47659,0.37102,1.36262,0.76147,0.71264,0.72675,0.53948,1.0329,1.06153,2.22742,0.00068528,0.00068528,0.00068528
